Date,Result,LAL Points,Opp points,LAL 3P%,REB
"Tue, Dec 6, 2022",L,102,116,16.7,43
"Wed, Dec 7, 2022",L,113,126,21.2,46
"Fri, Dec 9, 2022",L,122,133,35.5,37
"Sun, Dec 11, 2022",W,124,117,42.3,42
"Tue, Dec 13, 2022",L,118,122,27.6,49
"Fri, Dec 16, 2022",W,126,108,36.4,45
"Sun, Dec 18, 2022",W,119,117,40.7,43
"Mon, Dec 19, 2022",L,104,130,42.9,38
"Wed, Dec 21, 2022",L,120,134,45.8,39
"Fri, Dec 23, 2022",L,130,134,43.2,42
"Sun, Dec 25, 2022",L,115,124,32.1,35
"Tue, Dec 27, 2022",W,129,110,39.5,46
"Wed, Dec 28, 2022",L,98,112,35.1,44
"Fri, Dec 30, 2022",W,130,121,31.3,55
"Mon, Jan 2, 2023",W,121,115,33.3,53
"Wed, Jan 4, 2023",W,112,109,29.6,42
"Fri, Jan 6, 2023",W,130,114,45.7,51
"Sat, Jan 7, 2023",W,136,134,42.9,38
"Mon, Jan 9, 2023",L,109,122,28.6,44
"Thu, Jan 12, 2023",L,115,119,24.4,56
"Sun, Jan 15, 2023",L,112,113,30,38
"Mon, Jan 16, 2023",W,140,132,36.4,39
"Wed, Jan 18, 2023",L,111,116,32.4,36
"Fri, Jan 20, 2023",W,122,121,31.7,47
"Sun, Jan 22, 2023",W,121,112,33.3,51
"Tue, Jan 24, 2023",L,115,133,40,32
"Wed, Jan 25, 2023",W,113,104,30.3,56
"Sat, Jan 28, 2023",L,121,125,28.6,47
"Mon, Jan 30, 2023",L,104,121,37.9,53
"Tue, Jan 31, 2023",W,129,123,33.3,44
"Thu, Feb 2, 2023",W,112,111,27.3,51
"Sat, Feb 4, 2023",L,126,131,34.4,44
"Tue, Feb 7, 2023",L,130,133,45.2,41
"Thu, Feb 9, 2023",L,106,115,38.9,43
"Sat, Feb 11, 2023",W,109,103,32,52
"Mon, Feb 13, 2023",L,115,127,32.4,56
"Wed, Feb 15, 2023",W,120,102,27,43
"Thu, Feb 23, 2023",W,124,111,53.3,58
"Sun, Feb 26, 2023",W,111,108,17.6,56
"Tue, Feb 28, 2023",L,109,121,38.2,56
"Wed, Mar 1, 2023",W,123,117,45.7,41
"Fri, Mar 3, 2023",L,102,110,32.3,41
"Sun, Mar 5, 2023",W,113,105,33.3,46
"Tue, Mar 7, 2023",W,112,103,25,57
"Fri, Mar 10, 2023",W,122,112,43.3,35
"Sun, Mar 12, 2023",L,108,112,33.3,37
"Tue, Mar 14, 2023",W,123,108,46.2,52
"Wed, Mar 15, 2023",L,110,114,25,36
"Fri, Mar 17, 2023",L,110,111,25,42
